"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"949",2017-05-30,2017-05-21,2017-05-31,"3",0,0,1,110,186,4,0,18,1,9,10,1,"29","23",23,"2",1,1,1,9
"951",2017-05-30,2017-05-22,2017-02-06,"5",0,1,1,84.48,126,5,0,28,1,8,11,3,"13","23",58,"2",1,1,0,8
"954",2017-05-30,2017-02-25,2017-02-06,"5",0,0,1,56.32,376,9,0,28,1,94,97,3,"22","23",155,"2",1,1,1,94
"955",2017-05-30,2017-05-22,2017-02-06,"5",0,0,1,84.48,169,2,0,33,1,8,11,3,"30","23",127,"2",1,1,1,8
"958",2017-05-30,2017-05-25,2017-09-06,"5",0,1,1,56.32,109,4,0,14,1,5,15,10,"8","14",75,"2",1,1,0,5
"959",2017-05-30,2017-05-25,2017-03-06,"6",1,1,0,110,271,4,0,35,1,5,9,4,"31","31",1,"2",1,1,0,5
"961",2017-05-30,2017-05-16,2017-03-06,"6",1,0,1,84.48,201,5,0,48,1,14,18,4,"30","23",127,"2",1,1,1,14
"963",2017-05-30,2017-05-18,2017-02-06,"5",0,0,1,68.64,342,8,0,35,1,12,15,3,"30","30",1,"2",1,1,1,12
"964",2017-05-30,2017-05-23,2017-05-31,"3",0,1,1,56.32,172,3,0,12,1,7,8,1,"23","23",1,"2",0,0,0,7
"965",2017-05-30,2017-11-05,2017-03-06,"6",1,1,0,56.32,174,7,1,10,1,19,23,4,"14","22",27,"2",1,1,0,-159
"967",2017-05-30,2017-05-26,2017-01-06,"2",0,0,1,56.32,204,6,0,7,1,4,6,2,"28","28",1,"2",0,0,0,4
"968",2017-05-30,2017-05-23,2017-03-06,"6",1,1,1,84.48,192,5,0,7,1,7,11,4,"3","23",95,"2",1,1,0,7
"970",2017-05-03,2017-04-26,2017-05-05,"5",0,1,1,217.08,349,10,0,26,1,7,9,2,"33","33",1,"2",1,1,0,7
"973",2017-05-03,2017-04-27,2017-05-05,"5",0,0,1,68.64,242,2,1,19,1,6,8,2,"23","23",1,"2",0,0,0,6
"974",2017-05-03,2017-04-29,2017-05-05,"5",0,1,1,86.24,367,8,0,22,1,4,6,2,"24","24",1,"2",1,1,0,4
"975",2017-05-03,2017-04-27,2017-06-05,"6",0,1,1,86.24,342,7,0,6,1,6,9,3,"9","25",167,"2",1,1,0,6
"976",2017-05-03,2017-04-23,2017-04-05,"4",1,1,1,86.24,349,8,2,72,1,10,11,1,"27","13",66,"2",1,1,0,10
