"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"1115",2017-02-21,2017-02-16,2017-02-25,"6",1,1,1,58.41,112,4,2,0,1,9,4,8,"23","23",1,"2",1,1,0,5
"1116",2017-02-21,2017-02-13,2017-02-23,"4",0,1,1,418.5,300,10,0,2,1,10,2,23,"17","17",1,"2",1,0,0,8
"1119",2017-02-21,2017-02-10,2017-02-24,"5",0,1,1,58.58,143,4,1,2,1,14,3,12,"17","23",75,"1",1,1,0,11
"1120",2017-02-21,2017-02-08,2017-02-24,"5",0,0,1,56.54,156,8,2,6,1,16,3,22,"27","17",98,"2",1,0,1,13
"1123",2017-02-21,2017-02-14,2017-02-24,"5",0,1,1,84.22,138,9,3,4,1,10,3,31,"11","11",1,"2",1,0,0,7
"1125",2017-02-21,2017-02-17,2017-02-23,"4",0,0,1,109.12,223,12,2,3,1,6,2,23,"16","16",1,"2",1,0,1,4
"1128",2017-02-21,2017-02-17,2017-02-23,"4",0,0,1,55.31,187,0,0,0,1,6,2,9,"23","23",1,"2",0,0,0,4
"1129",2017-02-21,2017-02-13,2017-02-25,"6",1,1,1,64.33,210,3,1,0,1,12,4,16,"3","23",110,"2",1,1,0,8
"1130",2017-02-21,2017-02-13,2017-02-25,"6",1,1,1,63.23,198,2,1,3,1,12,4,28,"23","23",1,"2",1,1,0,8
"1131",2017-02-21,2017-02-18,2017-02-25,"6",1,1,1,84.02,194,5,2,5,1,7,4,21,"28","28",1,"2",1,1,0,3
"1132",2017-02-21,2017-02-15,2017-02-23,"4",0,1,1,76.65,178,0,0,0,1,8,2,5,"28","11",25,"2",0,0,0,6
"1134",2017-02-21,2017-01-21,2017-02-24,"5",0,0,1,124.23,166,4,1,6,1,34,3,21,"11","11",1,"2",1,1,1,31
"1135",2017-03-13,2017-03-07,2017-03-14,"2",0,0,1,73.25,121,8,1,2,1,7,1,17,"10","10",1,"2",1,0,1,6
"1136",2017-03-13,2017-03-07,2017-03-17,"5",0,1,1,72.84,145,15,6,0,1,10,4,13,"25","33",145,"2",1,0,0,6
"1137",2017-03-13,2017-03-08,2017-03-15,"3",0,1,0,56.01,147,6,2,4,1,7,2,26,"7","23",1,"2",1,1,0,5
"1139",2017-03-13,2017-03-04,2017-03-17,"6",1,1,1,78.48,138,9,1,2,1,13,4,25,"27","29",91,"2",1,1,0,9
"1140",2017-03-13,2017-03-09,2017-03-16,"4",0,1,1,65.56,154,1,1,0,1,7,3,10,"11","11",1,"2",1,1,0,4
"1141",2017-03-13,2017-03-08,2017-03-17,"5",0,0,1,58.41,143,19,6,5,1,9,4,16,"22","11",134,"2",1,0,1,5
"1143",2017-03-13,2017-03-08,2017-03-16,"4",0,1,0,56.32,124,11,2,3,1,8,3,15,"15","15",1,"2",1,1,0,5
"1144",2017-03-13,2017-03-06,2017-03-14,"2",0,0,1,56.34,126,18,7,3,1,8,1,13,"2","2",1,"2",1,1,1,7
"1145",0217-03-13,2017-03-09,2017-03-15,"3",0,1,1,58.11,131,11,6,3,1,6,3,14,"29","29",1,"2",1,1,0,-657433
"1146",2017-03-13,2017-03-07,2017-03-15,"3",0,0,1,57.01,135,2,2,0,1,8,2,6,"28","11",25,"2",1,1,1,6
"1147",2017-03-13,2017-03-06,2017-03-14,"2",0,0,1,56.45,158,1,0,1,1,8,1,8,"12","12",1,"2",1,1,1,7
"1148",2017-03-13,2017-03-06,2017-03-17,"5",0,0,0,68.64,290,6,0,2,1,11,4,40,"13","21",162,"2",1,0,1,7
"1149",2017-03-13,2017-03-07,2017-03-15,"3",0,0,1,109.12,270,10,2,2,1,8,2,23,"29","29",1,"2",1,1,1,6
"1152",2017-03-13,2017-03-05,2017-03-14,"2",0,0,1,58.68,193,8,4,5,1,9,1,21,"13","24",36,"2",1,1,1,8
"1153",2017-03-13,2017-03-06,2017-03-17,"6",1,1,1,80.08,198,10,8,5,1,11,4,23,"29","11",20,"2",1,0,0,7
"1154",2017-03-21,2017-03-16,2017-03-22,"3",0,1,1,53.43,150,4,0,0,1,6,1,7,"22","29",164,"2",1,1,0,5
"1155",2017-03-21,2017-03-08,2017-03-24,"5",0,1,1,71.28,194,3,0,4,1,16,3,15,"27","27",1,"2",1,1,0,13
"1156",2017-03-21,2017-03-08,2017-03-24,"5",0,1,1,58.63,176,0,0,3,1,16,3,18,"14","14",1,"1",0,0,0,13
"1157",2017-03-21,2017-03-16,2017-03-25,"6",1,1,0,83.6,182,6,2,4,1,9,4,18,"17","17",1,"2",1,1,0,5
"1158",2017-03-21,2017-03-10,2017-03-26,"7",1,1,0,54.34,200,0,0,2,1,16,5,12,"7","23",1,"2",0,0,0,11
"1162",2017-03-21,2017-03-13,2017-03-24,"5",0,0,1,66.54,246,6,1,2,1,11,3,21,"27","13",71,"2",1,1,1,8
"1163",2017-03-21,2017-03-14,2017-03-27,"1",0,0,1,83.6,138,14,2,0,1,13,6,14,"29","29",1,"2",1,0,1,7
"1164",2017-03-21,2017-03-14,2017-03-31,"5",0,0,1,88.17,194,3,1,3,1,17,10,20,"30","23",108,"2",1,1,1,7
"1166",2017-03-21,2017-03-15,2017-03-22,"3",0,1,1,110,135,0,0,0,1,7,1,2,"28","28",1,"2",0,1,0,6
"1167",2017-03-21,2017-03-21,2017-03-23,"4",0,1,1,64.24,135,2,1,3,1,2,2,6,"6","12",1,"2",1,1,0,0
"1168",2017-03-21,2017-03-12,2017-03-24,"5",0,0,1,63.21,242,7,3,5,1,12,3,36,"27","23",69,"2",1,1,1,9
"1169",2017-03-21,2017-03-14,2017-03-24,"5",0,1,0,56.61,197,6,1,4,1,10,3,24,"17","17",1,"2",1,1,0,7
"1170",2017-03-21,2017-03-16,2017-03-22,"3",0,1,1,58.34,112,3,0,0,1,6,1,0,"11","11",1,"2",1,1,0,5
"1171",2017-03-21,2017-03-17,2017-03-30,"4",0,0,1,58.41,149,3,1,2,1,13,9,23,"30","30",1,"2",1,0,1,4
"1172",2017-03-21,2017-03-14,2017-03-23,"4",0,1,1,56.54,122,2,0,2,1,9,2,24,"11","11",1,"2",1,1,0,7
"1173",2017-03-21,2017-03-15,2017-03-23,"4",0,1,1,58.66,168,4,1,4,1,8,2,26,"12","10",32,"1",1,1,0,6
"1174",2017-03-21,2017-03-17,2017-03-25,"6",1,0,1,56.67,170,5,2,5,1,8,4,23,"15","23",31,"2",1,1,1,4
"1178",2017-02-23,2017-02-06,2017-02-26,"6",1,1,0,54.56,225,3,0,2,1,20,3,25,"14","14",1,"2",1,1,0,17
"1182",2017-02-23,2017-02-19,2017-03-25,"6",0,0,1,77.44,134,1,1,4,1,34,30,25,"24","24",1,"2",1,0,1,4
"1184",2017-02-23,2017-02-17,2017-02-25,"6",1,0,1,66.46,134,4,0,0,1,8,2,22,"15","15",1,"2",1,0,1,6
"1186",2017-02-23,2017-02-20,2017-02-25,"6",1,0,1,155.25,210,9,4,0,1,5,2,5,"22","11",152,"2",1,0,1,3
"1187",2017-02-23,2017-02-18,2017-02-28,"2",0,1,1,158.12,225,7,1,2,1,10,5,17,"29","29",1,"2",1,1,0,5
"1190",2017-02-23,2017-02-18,2017-02-28,"2",0,0,1,82.44,156,3,0,2,1,10,5,13,"24","23",22,"1",1,1,1,5
"1193",2017-02-23,2017-02-19,2017-02-24,"5",0,0,1,54.36,111,0,0,0,1,5,1,5,"11","11",1,"2",0,0,0,4
"1195",2017-02-23,2017-02-21,2017-02-28,"2",0,0,1,112.13,462,12,5,10,1,7,5,45,"11","23",1,"2",1,0,1,2
"1198",2017-02-23,2017-02-16,2017-03-02,"4",0,0,1,83.6,351,4,2,3,1,14,7,22,"13","13",1,"2",1,0,1,7
"1200",2017-02-23,2017-02-19,2017-02-27,"1",0,0,1,68.25,164,8,4,5,1,8,4,24,"29","29",1,"2",1,0,1,4
"1201",2017-02-23,2017-02-08,2017-03-04,"6",1,1,1,63.25,160,4,1,3,1,24,9,16,"14","23",114,"2",1,1,0,15
"1202",2017-02-23,2017-02-16,2017-02-25,"6",1,1,1,58.41,112,4,2,0,1,9,2,8,"23","23",1,"2",1,1,0,7
"1203",2017-02-23,2017-02-19,2017-02-24,"5",0,0,0,117.45,254,3,0,0,1,5,1,6,"25","23",96,"2",0,0,0,4
"1205",2017-02-23,2017-02-17,2017-03-03,"5",0,1,0,86.72,201,4,2,3,1,14,8,18,"13","23",81,"2",1,0,0,6
"1206",2017-02-23,2017-02-20,2017-02-25,"6",1,1,1,78.68,119,2,0,1,1,5,2,10,"29","11",20,"1",1,1,0,3
"1207",2017-02-23,2017-02-17,2017-03-03,"5",0,1,1,216,84,0,0,5,1,14,8,5,"3","3",1,"2",0,0,0,6
"1210",2017-02-23,2017-02-18,2017-02-24,"5",0,0,1,58.96,164,4,2,0,1,6,1,10,"11","11",1,"2",1,1,1,5
"1212",2017-02-23,2017-02-16,2017-02-25,"6",1,0,1,58.87,212,2,0,4,1,9,2,27,"4","23",123,"2",1,1,1,7
"1214",2017-02-23,2017-02-19,2017-02-25,"6",1,1,1,67.76,300,5,3,6,1,6,2,31,"32","32",1,"2",1,1,0,4
"1219",2017-02-23,2017-02-14,2017-02-28,"2",0,1,1,63.74,198,7,2,4,1,14,5,26,"14","14",1,"2",1,0,0,9
"1220",2017-02-23,2017-02-19,2017-02-24,"5",0,0,1,64.64,125,4,2,3,1,5,1,21,"13","11",61,"2",1,1,1,4
"1223",2017-03-30,2017-03-20,2017-04-01,"6",1,0,1,67.76,221,7,2,4,1,12,2,17,"24","24",1,"2",1,0,1,10
"1225",2017-03-30,2017-03-25,2017-04-01,"6",1,0,1,59.84,210,5,0,0,1,7,2,12,"22","11",152,"2",1,0,1,5
"1227",2017-03-30,2017-03-24,2017-04-05,"3",0,0,1,110,301,0,0,4,1,12,6,34,"32","23",101,"2",0,0,0,6
"1228",2017-03-30,2017-02-12,2017-04-05,"3",0,0,1,54.21,142,9,2,4,1,52,6,26,"29","23",23,"2",1,1,1,46
"1229",2017-03-30,2017-03-23,2017-04-01,"6",1,1,1,59.84,162,3,2,0,1,9,2,7,"31","11",40,"2",1,1,0,7
"1230",2017-03-30,2017-03-26,2017-03-31,"5",0,1,1,59.84,155,3,0,0,1,5,1,13,"12","23",9,"2",1,0,0,4
"1231",2017-03-30,2017-03-23,2017-03-31,"5",0,0,1,55.44,126,4,3,0,1,8,1,11,"11","11",1,"2",1,1,1,7
"1232",2017-03-30,2017-03-26,2017-04-01,"6",1,1,1,85.36,216,6,3,4,1,6,2,19,"29","29",1,"2",1,0,0,4
"1233",2017-03-30,2017-03-19,2017-04-01,"6",1,1,1,83.6,96,1,0,0,1,13,2,6,"9","23",91,"1",1,1,0,11
"1234",2017-03-30,2017-03-19,2017-04-01,"6",1,1,1,83.6,98,4,1,0,1,13,2,8,"3","23",110,"1",1,1,0,11
"1235",2017-03-30,2017-03-15,2017-04-01,"6",1,1,1,54.21,181,15,2,3,1,17,2,28,"30","30",1,"2",1,1,0,15
"1236",2017-03-30,2017-03-24,2017-04-01,"6",1,1,1,110,156,7,4,1,1,8,2,5,"10","10",1,"2",1,1,0,6
"1238",2017-03-30,2017-03-27,2017-04-08,"6",1,0,1,55.44,253,5,1,3,1,12,9,23,"21","23",132,"2",1,0,1,3
"1240",2017-03-30,2017-03-26,2017-04-01,"6",1,1,0,55.44,165,2,0,0,1,6,2,13,"22","22",1,"2",1,0,0,4
"1242",2017-03-30,2017-03-23,2017-04-07,"5",0,1,1,54.56,162,3,0,0,1,15,8,12,"10","23",57,"2",1,1,0,7
"1243",2017-03-30,2017-03-21,2017-04-01,"6",1,0,1,73.92,242,9,2,2,1,11,2,27,"22","22",1,"2",1,0,1,9
"1245",2017-03-30,2017-03-21,2017-04-01,"6",1,1,1,80.96,138,0,0,1,1,11,2,30,"31","23",58,"2",0,0,0,9
"1246",2017-03-30,2017-03-22,2017-04-06,"4",0,0,1,84.48,141,2,0,0,1,15,7,7,"23","23",1,"2",0,0,0,8
"1247",2017-03-30,2017-03-17,2017-04-01,"6",1,0,1,84.48,151,4,2,5,1,15,2,30,"32","33",156,"2",1,1,1,13
"1248",2017-03-01,2017-02-21,2017-03-03,"5",0,1,1,54.56,181,0,0,0,1,10,2,15,"17","17",1,"1",0,0,0,8
"1250",2017-03-01,2017-01-23,2017-03-04,"6",1,0,0,57.56,223,4,0,4,1,40,3,21,"15","23",31,"2",1,1,1,37
"1251",2017-03-01,2017-02-16,2017-03-02,"4",0,0,1,83.6,351,4,2,3,1,14,1,22,"13","13",1,"2",1,0,1,13
"1252",2017-03-01,2017-02-24,2017-03-04,"6",1,1,1,55.34,276,3,1,4,1,8,3,24,"17","17",1,"1",1,1,0,5
"1253",2017-03-01,2017-02-23,2017-04-03,"5",0,0,1,54.56,162,4,2,5,1,39,33,28,"1","11",61,"2",1,1,1,6
"1254",2017-03-01,2017-02-11,2017-03-02,"4",0,0,1,58.86,133,2,1,6,1,19,1,10,"21","21",1,"2",1,0,1,18
"1256",2017-03-01,2017-02-21,2017-03-09,"4",0,1,1,84.48,302,5,2,6,1,16,8,28,"7","23",94,"2",1,1,0,8
"1257",2017-03-01,2017-02-24,2017-03-03,"5",0,0,0,67.76,202,7,3,4,1,7,2,20,"23","23",1,"2",1,0,1,5
"1258",2017-03-01,2017-02-17,2017-03-04,"6",1,0,1,54.56,135,5,2,6,1,15,3,31,"33","23",72,"2",1,1,1,12
"1259",2017-03-01,2017-02-25,2017-03-02,"4",0,1,1,214.4,312,8,2,5,1,5,1,25,"11","23",1,"2",1,1,0,4
"1260",2017-03-01,2017-02-22,2017-03-03,"5",0,1,1,84.48,320,3,3,10,1,9,2,38,"31","23",58,"2",1,0,0,7
"1262",2017-03-01,2017-02-26,2017-03-04,"6",1,1,1,54.56,211,3,1,3,1,6,3,17,"22","11",152,"2",1,1,0,3
"1264",2017-03-01,2017-02-22,2017-03-03,"5",0,0,0,84.48,146,1,0,3,1,9,2,13,"24","24",1,"2",1,1,1,7
"1265",2017-03-01,2017-02-22,2017-03-03,"5",0,0,1,58.96,180,9,1,2,1,9,2,11,"22","22",1,"2",1,1,1,7
"1270",2017-03-01,2017-02-26,2017-03-11,"6",1,1,1,125.84,378,8,6,7,1,13,10,28,"30","23",108,"2",1,1,0,3
"1272",2017-03-01,2017-02-26,2017-03-03,"5",0,1,1,54.56,120,0,0,3,1,5,2,8,"15","11",24,"2",0,1,0,3
"1273",2017-03-01,2017-02-25,2017-03-03,"5",0,0,1,54.56,171,3,0,0,1,6,2,23,"29","23",1,"1",1,0,1,4
"1275",2017-03-01,2017-02-23,2017-03-07,"2",0,0,1,67.76,180,9,1,4,1,12,6,23,"11","11",1,"2",1,0,1,6
"1277",2017-03-01,2017-02-22,2017-03-04,"6",1,1,1,84.48,274,0,0,6,1,10,3,29,"33","23",61,"1",0,0,0,7
"1279",2017-03-01,2017-02-26,2017-03-03,"5",0,0,1,212.8,133,5,0,0,1,5,2,13,"32","32",20,"2",0,0,0,3
"1281",2017-03-01,2017-02-24,2017-03-06,"1",0,1,1,440,383,7,0,2,1,10,5,30,"29","23",23,"2",1,1,0,5
"1282",2017-03-17,2017-03-12,2017-03-21,"2",0,0,1,54.56,210,2,0,3,1,9,4,21,"24","24",1,"2",1,0,1,5
"1283",2017-03-17,2017-03-13,2017-03-22,"3",0,1,1,54.56,224,3,0,4,1,9,5,18,"29","23",23,"2",1,0,0,4
"1284",2017-03-17,2017-03-13,2017-03-20,"1",0,0,1,54.56,196,1,0,2,1,7,3,13,"33","33",1,"2",0,0,0,4
"1285",2017-03-17,2017-03-14,2017-03-22,"3",0,1,1,54.56,152,3,0,0,1,8,5,17,"21","21",1,"2",1,1,0,3
"1287",2017-03-17,2017-03-13,2017-03-18,"6",1,0,1,110,224,1,0,0,1,5,1,18,"23","23",1,"2",0,0,0,4
"1288",2017-03-17,2017-03-12,2017-03-24,"5",0,0,1,130.24,339,6,3,14,1,12,7,54,"13","13",1,"2",1,0,1,5
"1289",2017-03-17,2017-03-11,2017-03-22,"3",0,0,1,131.22,166,12,4,3,1,11,5,27,"22","11",152,"2",1,0,1,6
"1291",2017-03-17,2017-03-12,2017-03-18,"6",1,1,1,54.56,216,10,0,1,1,6,1,21,"18","17",159,"2",1,1,0,5
